Data_emprestimo,Data_devolucao,Cod
21/3/2021,,3541008908048088
7/6/2021,21/7/2022,3585410877007995
19/4/2021,25/5/2022,5020023592151721
15/12/2021,,3578222452970763
14/1/2021,21/6/2022,3533710180820510
10/12/2021,17/3/2022,4041379538238453
22/7/2021,25/6/2022,3587311416759567
20/4/2021,,6376376385265357
7/4/2021,15/6/2022,3575134154459180
31/7/2021,,58930445074147067
28/10/2021,6/9/2022,3544704825736808
20/1/2021,22/3/2022,5002354168682035
16/7/2021,,5602214517873079
2/3/2021,27/2/2022,589352412669111687
16/5/2021,29/3/2022,5602234432574883
28/11/2021,,490337304765800225
30/1/2021,12/8/2022,4903936247547814860
7/4/2021,11/8/2022,3533597294887679
12/7/2021,,5602211761491798
5/3/2021,30/4/2022,5602241837437855
12/2/2021,,30348892887974
30/1/2021,11/2/2022,3549705515374086
4/1/2021,,3589934109551245
5/5/2021,3/9/2022,50187500621605863
13/2/2021,,3586598996759675
17/1/2021,1/6/2022,3547271766809405
25/6/2021,,5010125504707987
23/4/2021,25/2/2022,5048373430451694
14/4/2021,14/9/2022,3533600296494088
8/7/2021,22/6/2022,3589874971854071
26/5/2021,,201962485131120
12/7/2021,,201983839519034
26/5/2021,,3540955890690247
10/8/2021,1/5/2022,3584182355781877
2/2/2021,30/3/2022,3538714734015267
23/11/2021,19/6/2022,58930348267876338
25/9/2021,,6709541072006491
23/5/2021,27/7/2022,6385192102996086
26/4/2021,6/2/2022,3569736527058198
10/4/2021,,3542223859092170
26/5/2021,7/5/2022,6331100367002400997
4/8/2021,12/2/2022,30545937214847
9/1/2021,23/2/2022,5602258102502193544
1/8/2021,30/8/2022,201466504270141
7/1/2021,8/8/2022,5007660824670841
11/7/2021,5/10/2022,4905239499592394
27/8/2021,,3559706594847106
11/10/2021,,5100170142619138
18/9/2021,23/9/2022,4936828992234638780
9/7/2021,9/9/2022,5602250866847942
29/6/2021,3/7/2022,4274932707385790
20/5/2021,9/6/2022,56022432135469584
13/2/2021,10/9/2022,374283675924245
16/6/2021,,374288507267101
9/5/2021,,3536931971579423
20/7/2021,18/9/2022,5100144249889373
28/1/2021,,374622075500214
8/2/2021,31/5/2022,6382128142699135
27/1/2021,26/6/2022,3563043904612762
8/7/2021,,370708893363184
15/12/2021,30/9/2022,3570601153903355
17/5/2021,2/7/2022,5196053498159153
10/11/2021,,3586944758130574
4/11/2021,25/6/2022,3550350890492637
3/7/2021,,3538203023084549
22/8/2021,,3535255982265132
5/10/2021,11/4/2022,3561225517028526
17/4/2021,24/6/2022,3551959236132118
6/1/2021,18/4/2022,3542803258183033
11/12/2021,4/8/2022,5602239963437541
7/9/2021,1/3/2022,5468668652436708
25/12/2021,,3550138971836651
17/8/2021,,3583080436528419
5/9/2021,,060454684542521378
2/3/2021,10/7/2022,5007668199727377
12/6/2021,30/7/2022,3531260642629465
7/8/2021,3/4/2022,5108751267191847
26/5/2021,2/8/2022,3551562814929408
24/11/2021,26/7/2022,5100175281167104
1/9/2021,,3545325714343362
26/8/2021,14/4/2022,3583988252291682
10/10/2021,9/7/2022,3585966327038294
21/5/2021,3/2/2022,201431049196771
9/4/2021,10/9/2022,6382022887260726
17/9/2021,,564182295891740640
22/6/2021,,3573664501329449
20/12/2021,18/4/2022,3567471863520674
17/10/2021,22/6/2022,374622318635348
30/12/2021,,6375370548394171
18/8/2021,,201511425135756
31/10/2021,2/2/2022,491137580525822761
18/3/2021,,3566581403658817
4/7/2021,28/7/2022,5536145518919951
10/12/2021,14/9/2022,5100141679234609
9/1/2021,16/6/2022,5002356501395845
18/9/2021,7/6/2022,5602225258721783422
22/6/2021,,3572225258568919
18/11/2021,11/3/2022,3588629114477441
27/4/2021,22/7/2022,3534125159031511
20/1/2021,,5100179990787178
5/9/2021,22/8/2022,3574715542891422
8/7/2021,2/4/2022,5108751918439470
13/2/2021,27/3/2022,3568403086832130
25/7/2021,,378992602072219
22/7/2021,26/8/2022,3587731869861984
2/4/2021,22/5/2022,5010123872048803
21/8/2021,,5602248084849179
8/11/2021,,6334598147417590910
1/11/2021,15/2/2022,5416996625296963
12/4/2021,,3578308755371138
11/5/2021,21/9/2022,675997682932609570
31/12/2021,16/8/2022,6333203973589406
15/9/2021,,3580543906997094
12/1/2021,26/4/2022,3555768269131962
22/3/2021,,3576692601871769
18/8/2021,,4508082798280803
13/12/2021,,3554233421430589
13/7/2021,,3538614016613211
3/1/2021,12/2/2022,3546170203685157
28/7/2021,,5591659811049912
6/12/2021,,3572484659592511
11/10/2021,,3535273998431887
11/6/2021,12/6/2022,3563493949596068
14/2/2021,25/8/2022,3548111539686004
6/3/2021,4/9/2022,5602246995186434
12/12/2021,,58938193614590451
14/5/2021,,3573696222623965
3/11/2021,,4508137112809156
19/8/2021,9/2/2022,501869443547658681
2/2/2021,16/5/2022,201516079925659
6/12/2021,,5602233901085157
29/9/2021,,3536646836009040
3/11/2021,,5602254093212433
17/10/2021,,3589050952247086
7/4/2021,10/3/2022,4936288336721537
28/5/2021,14/5/2022,5439833923106425
1/5/2021,,67639254203727368
15/4/2021,2/9/2022,3553802625816776
12/2/2021,,3549852086241581
20/1/2021,17/7/2022,5602241774827670
7/1/2021,,3535318281214787
17/7/2021,,3566968682437338
2/1/2021,,3569057903439989
5/7/2021,,6759290171688242
27/3/2021,2/4/2022,3539808163555923
24/1/2021,,3540802946387057
24/11/2021,,201517970252839
7/2/2021,23/9/2022,63041808230802048
1/11/2021,,3568646297039917
30/6/2021,,3531101671118113
20/8/2021,14/3/2022,3576358663674273
27/12/2021,13/3/2022,3537690785928866
13/9/2021,20/9/2022,56022150467209754
6/4/2021,,30252805654093
16/9/2021,28/6/2022,201891643384042
26/7/2021,,4913866815021029
19/3/2021,29/8/2022,5108752269614166
25/2/2021,,3545145477909591
5/10/2021,23/8/2022,6709663537142817906
4/1/2021,29/7/2022,4017951045020
27/3/2021,,30301522560008
23/7/2021,21/3/2022,3574063782669111
2/9/2021,1/6/2022,3550076934965821
1/3/2021,30/4/2022,3535975790355482
29/5/2021,29/6/2022,6762158699769122
8/7/2021,22/5/2022,3530293825403581
25/4/2021,,3529800044125895
26/4/2021,,4041590705869
3/11/2021,,3562894148853112
29/10/2021,8/6/2022,6763266701794151521
16/11/2021,,4175003919945241
20/1/2021,17/9/2022,3546552621897409
13/1/2021,14/3/2022,6378529229506117
7/5/2021,21/2/2022,3576730536210941
9/11/2021,,5038955406678524
9/10/2021,18/2/2022,379122591227421
10/1/2021,,4520292967367075
4/2/2021,26/4/2022,5893147643260258
8/4/2021,,3554489477104334
21/7/2021,27/5/2022,3561192385575709
29/9/2021,,201736650682046
29/8/2021,19/2/2022,63042233891317997
11/10/2021,31/5/2022,30511870730231
29/6/2021,,4911603272867079
25/3/2021,15/5/2022,30201159753134
14/4/2021,18/6/2022,3538447958096222
17/9/2021,1/5/2022,4175006777378066
8/12/2021,14/5/2022,3572910657691871
25/8/2021,18/6/2022,6334447082343234
24/9/2021,,5602239275523665
9/6/2021,29/3/2022,337941563841500
26/5/2021,3/2/2022,5100177348125281
16/1/2021,,30567973602982
25/3/2021,10/2/2022,5602222869159591
15/8/2021,6/2/2022,3586598765027874
6/7/2021,,3565114053256004
28/12/2021,,5602250099087704
11/6/2021,22/7/2022,5018018194456054160
28/4/2021,,5100131663190560
11/6/2021,,6372795340487760
9/4/2021,,5100140357111550
19/11/2021,28/6/2022,3563453841005790
18/8/2021,4/7/2022,201873477315714
23/6/2021,28/3/2022,4508999738780180
2/6/2021,23/8/2022,30165219747891
29/11/2021,26/9/2022,371711324383739
10/10/2021,,3528899791752498
12/7/2021,,3573465391341183
5/8/2021,,6759548252758831540
12/4/2021,18/8/2022,6759863524700698
22/7/2021,13/5/2022,6333128768406559
26/11/2021,8/5/2022,201920560099315
10/9/2021,14/3/2022,376405108000099
22/3/2021,,3556647684292980
23/6/2021,,3553725689768320
21/9/2021,,374283493726616
25/3/2021,,3581658275467864
9/9/2021,18/6/2022,201737823624436
13/9/2021,,3543096242556682
18/1/2021,14/3/2022,3539451277604467
5/6/2021,,06049581698606349
11/6/2021,13/2/2022,3547393494389094
29/12/2021,,4086142309419322
13/5/2021,26/9/2022,3548758109011987
25/1/2021,20/6/2022,490309521076842224
3/2/2021,,5002351103193466
15/4/2021,9/6/2022,6706229878982494
30/7/2021,,201690469613884
14/6/2021,28/4/2022,6397086701057405
9/11/2021,,3546503547129708
11/1/2021,4/9/2022,3580056141124101
10/4/2021,25/8/2022,6333067571964099302
1/5/2021,,3545787716765167
25/9/2021,17/6/2022,3573019057043755
16/4/2021,,3550560717432307
24/11/2021,,5534691561364233
23/2/2021,20/6/2022,3534617484932710
18/12/2021,22/3/2022,3572101354413245
23/6/2021,,63046949715226660
8/12/2021,31/5/2022,372301760610495
25/6/2021,,30062971487628
6/3/2021,16/7/2022,3563079228094733
6/8/2021,31/7/2022,3538067992393862
2/6/2021,,3579260357519011
23/1/2021,,3577462270432320
